"","week_num","product_analytic_sub_category","total_gmv","total_units","no_of_orders","total_payment_cod","total_payment_prepaid","avg_sla","avg_product_mrp","avg_product_procurement_sla","avg_discount","avg_unitPrice","Total.Investment","TV","Digital","Sponsorship","Content.Marketing","Online.marketing","Affiliates","SEM","Radio","Other","spl_days","NPS"
"65",23,"HomeAudio",5183816.99136042,2461,2436,1994,442,5.3427750410509,4354.67775041051,2.96305418719212,43.2222331691297,2114.16707362907,24.0935483870968,1.21935483870968,0.7,12.8032258064516,0.248387096774194,5.08064516129032,1.53548387096774,2.52903225806452,0,0,0,10.341935483871
"66",24,"CameraAccessory",5686581,4139,4039,3054,985,6.11834612527853,2531.31963357267,2.77915325575638,46.9516390195593,1393.40554592721,24.0935483870968,1.21935483870968,0.7,12.8032258064516,0.248387096774194,5.08064516129032,1.53548387096774,2.52903225806452,0,0,0,10.341935483871
"67",24,"GamingAccessory",3172071.50018525,4022,3889,3189,700,5.61609668295192,1735.08254049884,2.74569298020057,44.4316996657238,796.146310153061,24.0935483870968,1.21935483870968,0.7,12.8032258064516,0.248387096774194,5.08064516129032,1.53548387096774,2.52903225806452,0,0,0,10.341935483871
"68",24,"HomeAudio",6194838.42437545,2821,2804,2330,474,5.2867332382311,4474.35984308131,2.95791726105564,43.3210948644793,2199.22804007684,24.0935483870968,1.21935483870968,0.7,12.8032258064516,0.248387096774194,5.08064516129032,1.53548387096774,2.52903225806452,0,0,0,10.341935483871
"69",25,"CameraAccessory",5647994,4059,3947,2934,1013,6.62452495566253,2492.73777552572,2.89029642766658,45.1361565746136,1415.28680010134,24.0935483870968,1.21935483870968,0.7,12.8032258064516,0.248387096774194,5.08064516129032,1.53548387096774,2.52903225806452,0,0,0,10.341935483871
"70",25,"GamingAccessory",3169737,4333,4197,3516,681,6.32666190135811,1769.98808672862,2.67905646890636,48.1427376697641,737.944166468112,24.0935483870968,1.21935483870968,0.7,12.8032258064516,0.248387096774194,5.08064516129032,1.53548387096774,2.52903225806452,0,0,0,10.341935483871
"71",25,"HomeAudio",5363695,2528,2517,2043,474,5.94278903456496,4018.6428287644,2.73778307508939,39.0898331346841,2123.48827969805,24.0935483870968,1.21935483870968,0.7,12.8032258064516,0.248387096774194,5.08064516129032,1.53548387096774,2.52903225806452,0,0,0,10.341935483871
"72",26,"CameraAccessory",5783364,3958,3850,2812,1038,6.50909090909091,2612.77064935065,2.89792207792208,45.6746285714286,1484.89155844156,24.0935483870968,1.21935483870968,0.7,12.8032258064516,0.248387096774194,5.08064516129032,1.53548387096774,2.52903225806452,0,0,5,10.341935483871
"73",26,"GamingAccessory",3736602,5221,5008,4238,770,5.68610223642172,1800.28055111821,2.6473642172524,51.8674141373802,727.859657880724,24.0935483870968,1.21935483870968,0.7,12.8032258064516,0.248387096774194,5.08064516129032,1.53548387096774,2.52903225806452,0,0,5,10.341935483871
"74",26,"HomeAudio",5966748,2683,2659,2139,520,5.22865738999624,4225.70327190673,2.64986837156826,40.0129973674314,2230.80782248966,24.0935483870968,1.21935483870968,0.7,12.8032258064516,0.248387096774194,5.08064516129032,1.53548387096774,2.52903225806452,0,0,5,10.341935483871
"75",27,"CameraAccessory",5165883,4522,4375,3422,953,6.16342857142857,2047.83131428571,2.87017142857143,45.1765188571429,1160.2256,18.8516129032258,1.05806451612903,0.280645161290323,4.33548387096774,0.216129032258065,5.14516129032258,1.63225806451613,1.4,0.435483870967742,4.37096774193548,5,10.5516129032258
"76",27,"GamingAccessory",3233205,4051,3932,3281,651,5.93514750762971,2467.27110885046,2.70778229908444,47.2692700915565,803.233468972533,18.8516129032258,1.05806451612903,0.280645161290323,4.33548387096774,0.216129032258065,5.14516129032258,1.63225806451613,1.4,0.435483870967742,4.37096774193548,5,10.5516129032258
"77",27,"HomeAudio",5127150,2458,2438,1996,442,5.9622641509434,3519.15586546349,2.53322395406071,34.225623461854,2092.15299425759,18.8516129032258,1.05806451612903,0.280645161290323,4.33548387096774,0.216129032258065,5.14516129032258,1.63225806451613,1.4,0.435483870967742,4.37096774193548,5,10.5516129032258
"78",28,"CameraAccessory",4756888,5143,5025,4071,954,5.96995024875622,1758.55960199005,2.85930348258706,49.2417014925373,932.030049751244,16.7548387096774,0.993548387096774,0.112903225806452,0.948387096774194,0.203225806451613,5.17096774193548,1.67096774193548,0.948387096774194,0.609677419354839,6.11935483870968,0,10.6354838709677
"79",28,"GamingAccessory",3239347,4464,4336,3644,692,5.8279520295203,3048.87845940959,2.82864391143911,48.2288145756458,733.916743542435,16.7548387096774,0.993548387096774,0.112903225806452,0.948387096774194,0.203225806451613,5.17096774193548,1.67096774193548,0.948387096774194,0.609677419354839,6.11935483870968,0,10.6354838709677
"80",28,"HomeAudio",7020586,3313,3303,2828,475,4.77111716621253,4539.24159854678,2.96185286103542,45.2319891008174,2120.60096881623,16.7548387096774,0.993548387096774,0.112903225806452,0.948387096774194,0.203225806451613,5.17096774193548,1.67096774193548,0.948387096774194,0.609677419354839,6.11935483870968,0,10.6354838709677
"81",29,"CameraAccessory",4255157,3950,3855,3041,814,6.67367055771725,2013.96601815824,2.66796368352789,48.776075226978,1091.78391699092,16.7548387096774,0.993548387096774,0.112903225806452,0.948387096774194,0.203225806451613,5.17096774193548,1.67096774193548,0.948387096774194,0.609677419354839,6.11935483870968,0,10.6354838709677
"82",29,"GamingAccessory",2948076,3848,3753,3117,636,5.96749267252864,1840.2344790834,2.57633892885691,43.5960325073275,770.587796429523,16.7548387096774,0.993548387096774,0.112903225806452,0.948387096774194,0.203225806451613,5.17096774193548,1.67096774193548,0.948387096774194,0.609677419354839,6.11935483870968,0,10.6354838709677
"83",29,"HomeAudio",4558376,2161,2148,1759,389,5.72346368715084,3901.47579143389,2.85335195530726,37.5445344506518,2110.66294227188,16.7548387096774,0.993548387096774,0.112903225806452,0.948387096774194,0.203225806451613,5.17096774193548,1.67096774193548,0.948387096774194,0.609677419354839,6.11935483870968,0,10.6354838709677
"84",30,"CameraAccessory",6292271,4953,4851,3635,1216,6.49721706864564,2238.0830756545,2.76829519686663,47.469859822717,1285.21572871573,16.7548387096774,0.993548387096774,0.112903225806452,0.948387096774194,0.203225806451613,5.17096774193548,1.67096774193548,0.948387096774194,0.609677419354839,6.11935483870968,3,10.6354838709677
"85",30,"GamingAccessory",4427223.29756879,5330,5128,4049,1079,6.1103744149766,2478.76482059282,2.8765600624025,46.381899375975,836.829746574356,16.7548387096774,0.993548387096774,0.112903225806452,0.948387096774194,0.203225806451613,5.17096774193548,1.67096774193548,0.948387096774194,0.609677419354839,6.11935483870968,3,10.6354838709677
"86",30,"HomeAudio",5413464.34010856,2609,2574,2030,544,5.88189588189588,3841.80963480963,2.73659673659674,39.2804234654235,2073.35181042713,16.7548387096774,0.993548387096774,0.112903225806452,0.948387096774194,0.203225806451613,5.17096774193548,1.67096774193548,0.948387096774194,0.609677419354839,6.11935483870968,3,10.6354838709677
"87",31,"CameraAccessory",4723935,3693,3621,2848,773,6.49461474730737,2231.39768019884,2.69566418116542,44.0071830985915,1294.28831814416,15.4034562211982,0.895391705069124,0.216359447004608,1.513133640553,0.188018433179723,5.11497695852534,1.65783410138249,1.02741935483871,0.435483870967742,4.37096774193548,2,11.1896313364055
"88",31,"GamingAccessory",2832517.75013774,3518,3426,2795,631,5.87711617046118,1675.83099824869,2.75394045534151,43.5315995329831,809.756786379959,15.4034562211982,0.895391705069124,0.216359447004608,1.513133640553,0.188018433179723,5.11497695852534,1.65783410138249,1.02741935483871,0.435483870967742,4.37096774193548,2,11.1896313364055
"89",31,"HomeAudio",5154007,2408,2389,1977,412,5.53160318124738,3942.14692339891,2.75136040184177,37.9703097530347,2146.01004604437,15.4034562211982,0.895391705069124,0.216359447004608,1.513133640553,0.188018433179723,5.11497695852534,1.65783410138249,1.02741935483871,0.435483870967742,4.37096774193548,2,11.1896313364055
"90",32,"CameraAccessory",5252284,5631,5475,4347,1128,6.39890410958904,1848.43780821918,2.76073059360731,51.0075926940639,945.917442922374,12.025,0.65,0.475,2.925,0.15,4.975,1.625,1.225,0,0,3,12.575
"91",32,"GamingAccessory",2990488.60077901,4221,4089,3364,725,5.99266324284666,1409.79163609685,2.61824406945463,45.2943898263634,716.406326105571,12.025,0.65,0.475,2.925,0.15,4.975,1.625,1.225,0,0,3,12.575
